tip_label	sample_id	domain	species	date_finalized	qubit_average	total_dna	nebnext_protocol	isotope_reference_name	sample_preservation	type	family	site	genus	tribe	plot_simple	county	state	native	lat	long	date_field_collection	closest_blast_genus	closest_blast_taxon	percent_identity	query_coverage_percent	evalue	bitscore
BLAN-1-1-No|nolG|consensus50|strict_single_dominant	BLAN-1-1-No	D02	Trifolium repens	4/23/25	2.17	104.16	Quarter	BLAN-1	ethanol	nodule	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.437	100	0	5836
BLAN-1-1-Rh|nolG|consensus50|strict_single_dominant	BLAN-1-1-Rh	D02	Trifolium repens	4/23/25	0.0565	2.712	Quarter	BLAN-1	ethanol	rhizosphere	Fabaceae	BLAN	Trifolium	Trifolieae	BLAN_020	Clarke	VA	no	39.101131	-77.980227	8/13/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	99.9687	0	5888
CLBJ-7-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-7-1-Rh	D11	Neptunia lutea	6/13/24	0	0	Quarter	CLBJ-7	ethanol	rhizosphere	Fabaceae	CLBJ	Neptunia	Mimosoideae	CLBJ_001_T	Wise	TX	yes	33.39787	-97.568339	4/30/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	99.9687	0	5888
WOOD-5-1-Ro|nolG|consensus50|strict_single_dominant	WOOD-5-1-Ro	D09	Dalea candida	4/24/25	0	0	Quarter	WOOD-5	ethanol	root	Fabaceae	WOOD	Dalea	Amorpheae	BARR_027	Stutsman	ND	yes	47.13	99.24	9/23/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	100	0	5890
DCFS-5-1-Rh|nolG|consensus50|strict_single_dominant	DCFS-5-1-Rh	D09	Medicago lupulina	4/23/25	0	0	Quarter	DCFS-5	dry	rhizosphere	Fabaceae	DCFS	Medicago	Trifolieae	DCFS_065	Stutsman	ND	no	47.16085	99.11081	6/20/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.875	100	0	5884
KONZ-1-Rh|nolG|consensus50|strict_single_dominant	KONZ-1-Rh	D06	Lespedeza capitata	8/29/24	1.52	72.96	Quarter	KONZ-1	dry	rhizosphere	Fabaceae	KONZ	Lespedeza	Desmodieae	KONZ_046	Riley	KS	yes	39.103	-96.56374	20240703	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	98.742	99.4371	0	5718
DSNY-91-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-91-1-Rh	D03	Chamaecrista fasciculata	4/4/25	0	0	Quarter	DSNY-91	dry	rhizosphere	Fabaceae	DSNY	Chamaecrista	Cassieae	DSNY_001	Polk	Florida	yes	28.1019698	-81.4240004	20240904	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.731	69.7311	0	4096
CLBJ-26-1-Rh|nolG|consensus50|strict_single_dominant	CLBJ-26-1-Rh	D11	Strophostyles leiosperma	9/18/24	0	0	Quarter	CLBJ-26	ethanol	rhizosphere	Fabaceae	CLBJ	Strophostyles	Phaseoleae	CLBJ_035_R	Wise	TX	yes	33.32974	-97.5792	6/4/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.906	100	0	5890
OAES-9-1-Rh|nolG|consensus50|strict_single_dominant	OAES-9-1-Rh	D11	Astragalus missouriensis	7/9/24	0.505	24.24	Quarter	OAES-9	ethanol	rhizosphere	Fabaceae	OAES	Astragalus	Galegeae	OAES_044_T	Washita	OK	yes	35.24131	-99.33629	4/2/24	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.625	99.9375	0	5845
DSNY-CRMA-33-1-Rh|nolG|consensus50|strict_single_dominant	DSNY-CRMA-33-1-Rh	D03	Crotalaria maritima	9/18/24	0	0	Quarter	DSNY-CRMA-33	dry	rhizosphere	Fabaceae	DSNY	Crotalaria	Crotalarieae	DSNY_001	Osceola	Florida	yes	NA	NA	20240402	Sinorhizobium	Sinorhizobium_meliloti_(Rhizobium_meliloti)	99.093	100	0	5795
